snapshot_time_utc,trainee_name,views,likes,comments,url,views_rank,likes_rank,comments_rank,views_norm,likes_norm,comments_norm,score,score_norm,overall_rank
2025-08-11T13:19:57.330817Z,한해리준 HAN HARRY JUNE,76401,6824,881,https://www.youtube.com/watch?v=Csmftq5Q_ic,27,24,23,0.03378912569598296,0.048425091857295245,0.051811526187347474,0.13402574374062567,0.04467524791354189,23
2025-08-11T13:19:57.330817Z,김재현 KIM JAE HYUN,98458,6279,669,https://www.youtube.com/watch?v=f5KG8b8PeRU,20,26,27,0.04470172300001682,0.04438781557425625,0.038545773105562856,0.12763531167983594,0.042545103893278646,24
2025-08-11T13:19:57.330817Z,유센 YUSEN,127744,2779,563,https://www.youtube.com/watch?v=bSVIiG69Fk8,17,39,33,0.05919083415048767,0.018460353206115918,0.03191289656467055,0.10956408392127415,0.03652136130709138,25
2025-08-11T13:19:57.330817Z,펑진위 PENG JIN YU,63466,4095,894,https://www.youtube.com/watch?v=skHA4edV7tA,31,32,22,0.02738959511033315,0.028209079056536683,0.05262499217821163,0.10822366634508146,0.03607455544836049,26
2025-08-11T13:19:57.330817Z,크리센 양 CHRISEN YANG,60664,8251,420,https://www.youtube.com/watch?v=JYpMUV2mfdY,32,23,38,0.026003318751539894,0.05899608865710561,0.022964770665164884,0.1079641780738104,0.0359880593579368,27
2025-08-11T13:19:57.330817Z,리즈하오 LI ZI HAO,78227,5104,643,https://www.youtube.com/watch?v=O_4hSdW0qFM,25,28,31,0.034692530632155875,0.035683596064952,0.036918841123834555,0.10729496782094244,0.035764989273647484,28
2025-08-11T13:19:57.330817Z,윤민 YOON MIN,69989,5391,652,https://www.youtube.com/watch?v=pct7yVcld58,28,27,29,0.03061681876786649,0.03780964797913951,0.037482009886740504,0.1059084766337465,0.03530282554458217,29
2025-08-11T13:19:57.330817Z,장태윤 JANG TAE YOON,47324,10446,212,https://www.youtube.com/watch?v=3fnrwds7h7c,35,19,47,0.019403416315315038,0.07525631148512504,0.009949314811338464,0.10460904261177854,0.03486968087059285,30
2025-08-11T13:19:57.330817Z,타츠키 TATSUKI,64982,4728,661,https://www.youtube.com/watch?v=hIKzL5XwAOE,29,29,28,0.02813962900038689,0.032898245821974634,0.038045178649646454,0.09908305347200798,0.033027684490669326,31
2025-08-11T13:19:57.330817Z,쇼우 SHO,90017,855,647,https://www.youtube.com/watch?v=y82VBsbL0Ic,21,50,30,0.04052557783778488,0.004207656750029631,0.03716913835179275,0.08190237293960727,0.02730079097986909,32
2025-08-11T13:19:57.330817Z,쉬에수런 XUE SU REN,46332,4348,568,https://www.youtube.com/watch?v=ghTXekcRfYo,36,30,32,0.0189126289677337,0.030083264193433684,0.032225768099618295,0.08122166126078567,0.027073887086928556,33
2025-08-11T13:19:57.330817Z,문원준 MUHN WON JUN,40275,3415,704,https://www.youtube.com/watch?v=BBrq5n9MMpw,39,33,25,0.015915956624689177,0.02317174351072656,0.040735873850197106,0.07982357398561285,0.026607857995204282,34
2025-08-11T13:19:57.330817Z,염예찬 YEOM YE CHAN,45794,4180,477,https://www.youtube.com/watch?v=HDMtYviT8rU,37,31,35,0.018646455990920435,0.02883874599976295,0.026531506163569238,0.07401670815425263,0.02467223605141754,35
2025-08-11T13:19:57.330817Z,지앙판 JIANG FAN,29726,3245,686,https://www.youtube.com/watch?v=-Q2AeH3WMKo,43,35,26,0.010696888348846897,0.021912409624274033,0.03960953632438521,0.07221883429750614,0.02407294476583538,36
2025-08-11T13:19:57.330817Z,방준혁 BANG JUN HYUK,48631,3142,471,https://www.youtube.com/watch?v=dnRlHl2wKvw,34,37,36,0.020050048435565855,0.021149401446011615,0.026156060321631938,0.0673555102032094,0.022451836734403135,37
2025-08-11T13:19:57.330817Z,김동윤 KIM DONG YUN,37310,3317,514,https://www.youtube.com/watch?v=4IQZpHLV9_U,41,34,34,0.014449036780355841,0.02244577456441863,0.02884675552218259,0.06574156686695706,0.021913855622319022,38
2025-08-11T13:19:57.330817Z,김다니엘 KIM DANIEL,55647,2481,402,https://www.youtube.com/watch?v=fBFMcTu62Ro,33,41,39,0.023521181530959678,0.01625281498162854,0.02183843313935298,0.06161242965194119,0.020537476550647065,39
2025-08-11T13:19:57.330817Z,렌쇼 RENSHO,63795,2764,286,https://www.youtube.com/watch?v=um-CwDseeTo,30,40,44,0.027552366317343494,0.01834923551025246,0.014579813528565171,0.060481415356161125,0.020160471785387043,40
2025-08-11T13:19:57.330817Z,이동헌 LEE DONG HEON,40883,3222,360,https://www.youtube.com/watch?v=RuOTm4CtTUU,38,36,41,0.016216761773206773,0.021742029157283394,0.019210312245791877,0.05716910317628204,0.019056367725427348,41
2025-08-11T13:19:57.330817Z,오준호 OH JUN HO,26808,2300,459,https://www.youtube.com/watch?v=8mkPRRUZQBg,46,43,37,0.009253221534086468,0.014911994784876141,0.025405168637757335,0.04957038495671995,0.016523461652239984,42
2025-08-11T13:19:57.330817Z,리온 REEONN,39953,3021,241,https://www.youtube.com/watch?v=C41kxOIHl08,40,38,45,0.015756648634849265,0.020253052032713048,0.011763969714035417,0.04777367038159773,0.01592455679386591,43
2025-08-11T13:19:57.330817Z,아틱 ARCTIC,29552,2400,379,https://www.youtube.com/watch?v=4WVBO-wupKI,45,42,40,0.010610802664896139,0.015652779423965864,0.02039922407859333,0.04666280616745533,0.01555426872248511,44
2025-08-11T13:19:57.330817Z,양희찬 YANG HEUI CHAN,29665,2023,309,https://www.youtube.com/watch?v=U9NHqRJ7MUQ,44,44,42,0.010666708884933125,0.012860021334597606,0.016019022589324822,0.039545752808855555,0.013181917602951851,45
2025-08-11T13:19:57.330817Z,타이가 TAIGA,31300,1918,231,https://www.youtube.com/watch?v=sfwAi_G2NkY,42,45,46,0.011475617466884223,0.012082197463553396,0.011138226644139916,0.034696041574577535,0.011565347191525846,46
2025-08-11T13:19:57.330817Z,장슌위 ZHANG SHUN YU,23615,1750,172,https://www.youtube.com/watch?v=K6gJzu0PVUA,47,46,50,0.007673499759059034,0.010837679269882659,0.007446342531756461,0.025957521560698152,0.008652507186899383,47
2025-08-11T13:19:57.330817Z,아오시 AOSHI,22746,1329,210,https://www.youtube.com/watch?v=hh2m0kjYTqc,48,48,48,0.007243566084615301,0.007718975939314922,0.009824166197359364,0.02478670822128959,0.008262236073763196,48
2025-08-11T13:19:57.330817Z,궈쩐 GUO ZHEN,15796,807,304,https://www.youtube.com/watch?v=CUvdXd9hlLI,52,51,43,0.0038050861796855595,0.003852080123266564,0.015706151054377074,0.023363317357329196,0.007787772452443065,49
2025-08-11T13:19:57.330817Z,홍쯔하오 HONG ZIH HAO,18899,1469,166,https://www.youtube.com/watch?v=YYowgJSZBss,49,47,51,0.005340280876807428,0.008756074434040535,0.00707089668981916,0.021167252000667124,0.007055750666889041,50
2025-08-11T13:19:57.330817Z,김동현B KIM DONG HYUN B,16331,949,190,https://www.youtube.com/watch?v=ND9cEIJ7zIo,51,49,49,0.00406977492056864,0.004903994310773972,0.008572680057568362,0.017546449288910974,0.0058488164296369915,51
2025-08-11T13:19:57.330817Z,이승백 LEE SEUNG BAEK,18822,664,112,https://www.youtube.com/watch?v=qDR46tsekT8,50,52,52,0.005302185487932667,0.0027927580893682587,0.0036918841123834553,0.011786827689684382,0.003928942563228128,52
2025-08-11T13:19:57.330817Z,김현서 KIM HYEON SEO,12862,442,109,https://www.youtube.com/watch?v=0EbhM-RrtK0,53,55,53,0.002353503439964141,0.001148216190589072,0.003504161191414805,0.007005880821968018,0.0023352936073226726,53
2025-08-11T13:19:57.330817Z,김동현A KIM DONG HYUN A,11838,561,62,https://www.youtube.com/watch?v=PkXhgfkY4Y0,54,53,55,0.0018468842424608236,0.0020297499111058435,0.0005631687629059508,0.004439802916472618,0.0014799343054908726,54
2025-08-11T13:19:57.330817Z,동징쿤 DONG JING KUN,8105,459,69,https://www.youtube.com/watch?v=SCl2IzyRk0o,56,54,54,0.0,0.001274149579234325,0.0010011889118328014,0.002275338491067126,0.0007584461636890421,55
2025-08-11T13:19:57.330817Z,비엔스위 BIAN SHI YU,8838,287,53,https://www.youtube.com/watch?v=tHeo4F76KFU,55,56,56,0.0003626483122753238,0.0,0.0,0.0003626483122753238,0.00012088277075844127,56
