trainee_name,views,likes,comments,url,views_rank,likes_rank,comments_rank,views_norm,likes_norm,comments_norm,score,score_norm,overall_rank
허씬롱 HE XIN LONG,520719,22036,6859,https://www.youtube.com/watch?v=WKhO7vc1eCQ,1,2,1,1.0,0.8287772724950181,1.0,2.828777272495018,0.9429257574983394,1
이리오 LEE LEO,293632,25387,4420,https://www.youtube.com/watch?v=RcwGMjOfh9U,2,1,2,0.4438558595625043,1.0,0.4985608552631579,1.9424167148256624,0.6474722382752208,2
박준일 PARK JUN IL,112395,5816,1995,https://www.youtube.com/watch?v=sE3mduWPwFE,3,3,3,0.0,0.0,0.0,0.0,0.0,3
