videoId,title,publishedAt,views,likes,comments,url,trainee_name
TxJfOmvpa_4,[BOYS ll PLANET/9회 직캠] 정상현 CHUNG SANG HYEON ♬Sugar HIGH - 냥냥줍줍 @데뷔 콘셉트 배틀,2025-09-12T09:00:51Z,59167,8917,1293,https://www.youtube.com/watch?v=TxJfOmvpa_4,정상현 CHUNG SANG HYEON
iYDUgHny2cs,[BOYS ll PLANET/9회 직캠] 김준서 KIM JUN SEO ♬MAIN DISH - MAIN CHEF (메인 셰프) @데뷔 콘셉트 배틀,2025-09-12T09:01:29Z,88317,10747,2275,https://www.youtube.com/watch?v=iYDUgHny2cs,김준서 KIM JUN SEO
HlGdAGO51WE,[BOYS ll PLANET/9회 직캠] 이상원 LEESANGWON ♬Chains - Love is @데뷔 콘셉트 배틀,2025-09-12T09:01:57Z,479183,38560,7826,https://www.youtube.com/watch?v=HlGdAGO51WE,이상원 LEESANGWON
YOLqUmzpYGM,[BOYS ll PLANET/9회 직캠] 전이정 JUNLEEJEONG ♬Chains - Love is @데뷔 콘셉트 배틀,2025-09-12T09:01:46Z,66432,6336,1405,https://www.youtube.com/watch?v=YOLqUmzpYGM,전이정 JUNLEEJEONG
wyU1Taqkt98,[BOYS ll PLANET/9회 직캠] 김건우 KIMGEONWOO ♬Chains - Love is @데뷔 콘셉트 배틀,2025-09-12T09:01:49Z,110179,11020,1944,https://www.youtube.com/watch?v=wyU1Taqkt98,김건우 KIMGEONWOO
gFtSBRp1Xd4,[BOYS ll PLANET/9회 직캠] 장지아하오 ZHANGJIAHAO ♬Chains - Love is @데뷔 콘셉트 배틀,2025-09-12T09:02:04Z,515263,42795,9235,https://www.youtube.com/watch?v=gFtSBRp1Xd4,장지아하오 ZHANGJIAHAO
gFtSBRp1Xd4,[BOYS ll PLANET/9회 직캠] 장지아하오 ZHANGJIAHAO ♬Chains - Love is @데뷔 콘셉트 배틀,2025-09-12T09:02:04Z,515263,42795,9235,https://www.youtube.com/watch?v=gFtSBRp1Xd4,장지아하오 ZHANGJIAHAO
vI2qHOwgd-I,[BOYS ll PLANET/9회 직캠] 나윤서 NA YUN SEO ♬Sugar HIGH - 냥냥줍줍 @데뷔 콘셉트 배틀,2025-09-12T09:01:08Z,21146,2654,424,https://www.youtube.com/watch?v=vI2qHOwgd-I,나윤서 NA YUN SEO
RcwGMjOfh9U,[BOYS ll PLANET/9회 직캠] 이리오 LEELEO ♬Chains - Love is @데뷔 콘셉트 배틀,2025-09-12T09:01:54Z,151161,20202,3719,https://www.youtube.com/watch?v=RcwGMjOfh9U,이리오 LEELEO
ElgDEyBnBaM,[BOYS ll PLANET/9회 직캠] 장한음 JANG HAN EUM ♬Sugar HIGH - 냥냥줍줍 @데뷔 콘셉트 배틀,2025-09-12T09:00:55Z,43064,4474,1062,https://www.youtube.com/watch?v=ElgDEyBnBaM,장한음 JANG HAN EUM
cmvooK5_wtg,[BOYS ll PLANET/9회 직캠] 리즈하오 LI ZI HAO ♬MAIN DISH - MAIN CHEF (메인 셰프) @데뷔 콘셉트 배틀,2025-09-12T09:01:32Z,28021,3349,582,https://www.youtube.com/watch?v=cmvooK5_wtg,리즈하오 LI ZI HAO
9W2p6n50tyI,[BOYS ll PLANET/9회 직캠] 유강민 YOO KANG MIN ♬MAIN DISH - MAIN CHEF (메인 셰프) @데뷔 콘셉트 배틀,2025-09-12T09:01:40Z,97275,11252,1916,https://www.youtube.com/watch?v=9W2p6n50tyI,유강민 YOO KANG MIN
cUFKeWurUSw,[BOYS ll PLANET/9회 직캠] 쑨헝위 SUN HENG YU ♬MAIN DISH - MAIN CHEF (메인 셰프) @데뷔 콘셉트 배틀,2025-09-12T09:01:36Z,28099,3818,812,https://www.youtube.com/watch?v=cUFKeWurUSw,쑨헝위 SUN HENG YU
aoZGHX6eamc,[BOYS ll PLANET/9회 직캠] 천카이원 CHEN KAI WEN ♬MAIN DISH - MAIN CHEF (메인 셰프) @데뷔 콘셉트 배틀,2025-09-12T09:01:20Z,44921,6256,1166,https://www.youtube.com/watch?v=aoZGHX6eamc,천카이원 CHEN KAI WEN
wjEs-vKN654,[BOYS ll PLANET/9회 직캠] 쉬칭위 HSU CHING YU ♬MAIN DISH - MAIN CHEF (메인 셰프) @데뷔 콘셉트 배틀,2025-09-12T09:01:23Z,45463,6022,925,https://www.youtube.com/watch?v=wjEs-vKN654,쉬칭위 HSU CHING YU
wwibOzhDbnk,[BOYS ll PLANET/9회 직캠] 최립우 CHUEI LI YU ♬Sugar HIGH - 냥냥줍줍 @데뷔 콘셉트 배틀,2025-09-12T09:00:46Z,42588,5117,1102,https://www.youtube.com/watch?v=wwibOzhDbnk,최립우 CHUEI LI YU
sE3mduWPwFE,[BOYS ll PLANET/9회 직캠] 박준일 PARK JUN IL ♬Lucky MACHO - 777 (Triple 7) @데뷔 콘셉트 배틀,2025-09-12T09:00:23Z,56531,4338,1532,https://www.youtube.com/watch?v=sE3mduWPwFE,박준일 PARK JUN IL
RBj_YcPEdPo,[BOYS ll PLANET/9회 직캠] 유메키 YUMEKI ♬Lucky MACHO - 777 (Triple 7) @데뷔 콘셉트 배틀,2025-09-12T09:00:29Z,264043,24009,2939,https://www.youtube.com/watch?v=RBj_YcPEdPo,유메키 YUMEKI
WKhO7vc1eCQ,[BOYS ll PLANET/9회 직캠] 허씬롱 HE XIN LONG ♬Lucky MACHO - 777 (Triple 7) @데뷔 콘셉트 배틀,2025-09-12T09:00:10Z,198206,16119,4793,https://www.youtube.com/watch?v=WKhO7vc1eCQ,허씬롱 HE XIN LONG
mu4lQfZ3Tfg,[BOYS ll PLANET/9회 직캠] 김준민 KIM JUN MIN ♬Lucky MACHO - 777 (Triple 7) @데뷔 콘셉트 배틀,2025-09-12T09:00:16Z,73045,8735,1913,https://www.youtube.com/watch?v=mu4lQfZ3Tfg,김준민 KIM JUN MIN
Nzgp8nvy7fQ,[BOYS ll PLANET/9회 직캠] 박동규 PARK DONG GYU ♬Lucky MACHO - 777 (Triple 7) @데뷔 콘셉트 배틀,2025-09-12T09:00:21Z,50808,6479,1361,https://www.youtube.com/watch?v=Nzgp8nvy7fQ,박동규 PARK DONG GYU
