trainee_name,views,likes,comments,url,views_rank,likes_rank,comments_rank,views_norm,likes_norm,comments_norm,score,score_norm,overall_rank
장지아하오 ZHANG JIA HAO,1072673,60789,13898,https://www.youtube.com/watch?v=gFtSBRp1Xd4,1,1,1,1.0,1.0,1.0,3.0,1.0,1
허씬롱 HE XIN LONG,435577,21162,6784,https://www.youtube.com/watch?v=WKhO7vc1eCQ,2,2,2,0.344452973389007,0.28114285714285714,0.405084462284663,1.030680292816527,0.34356009760550904,2
김준민 KIM JUN MIN,174924,13086,2748,https://www.youtube.com/watch?v=mu4lQfZ3Tfg,3,3,3,0.07625116529849134,0.13463945578231293,0.06756982773038969,0.2784604488111939,0.0928201496037313,3
박준일 PARK JUN IL,100819,5664,1940,https://www.youtube.com/watch?v=sE3mduWPwFE,4,4,4,0.0,0.0,0.0,0.0,0.0,4
