trainee_name,views,likes,comments,url,views_rank,likes_rank,comments_rank,views_norm,likes_norm,comments_norm,score,score_norm,overall_rank
장지아하오 ZHANG JIA HAO,1233833,63284,13951,https://www.youtube.com/watch?v=gFtSBRp1Xd4,1,1,1,1.0,1.0,1.0,3.0,1.0,1
허씬롱 HE XIN LONG,534202,22136,6818,https://www.youtube.com/watch?v=WKhO7vc1eCQ,2,4,2,0.4172577678862953,0.3312313093225848,0.4782004389173372,1.2266895161262172,0.4088965053754057,2
이리오 LEE LEO,299660,25432,4421,https://www.youtube.com/watch?v=RcwGMjOfh9U,5,3,3,0.22190117476161603,0.384800416070732,0.30285296269202633,0.9095545535243744,0.3031848511747915,3
쉬칭위 HSU CHING YU,317010,31342,2093,https://www.youtube.com/watch?v=4m1rcjdjns0,4,2,4,0.23635247512877067,0.4808542452216877,0.13255303584491587,0.8497597561953742,0.28325325206512475,4
,440798,19037,608,https://www.youtube.com/watch?v=vK3oPirPUvo,3,5,5,0.33945896330452513,0.2808639968794695,0.023920994879297733,0.6442439550632924,0.21474798502109746,5
아오시 AOSHI,33249,1756,281,https://www.youtube.com/watch?v=hh2m0kjYTqc,6,6,6,0.0,0.0,0.0,0.0,0.0,6
