trainee_name,views,likes,comments,url,views_rank,likes_rank,comments_rank,views_norm,likes_norm,comments_norm,score,score_norm,overall_rank
이리오 LEE LEO,304382,25460,4404,https://www.youtube.com/watch?v=RcwGMjOfh9U,2,1,2,0.43667736999863016,1.0,0.5018610421836228,1.938538412182253,0.6461794707274177,2
허씬롱 HE XIN LONG,547009,22260,6813,https://www.youtube.com/watch?v=WKhO7vc1eCQ,1,2,1,1.0,0.837116970375649,1.0,2.837116970375649,0.945705656791883,1
박준일 PARK JUN IL,116302,5814,1977,https://www.youtube.com/watch?v=sE3mduWPwFE,3,3,3,0.0,0.0,0.0,0.0,0.0,3
