trainee_name,views,likes,comments,url,views_rank,likes_rank,comments_rank,views_norm,likes_norm,comments_norm,score,score_norm,overall_rank
허씬롱 HE XIN LONG,545216,22251,6807,https://www.youtube.com/watch?v=WKhO7vc1eCQ,1,3,1,1.0,0.694884225514459,1.0,2.694884225514459,0.898294741838153,1
,441197,19005,600,https://www.youtube.com/watch?v=vK3oPirPUvo,2,4,5,0.7967275200206362,0.5848391361833407,0.049027118124712735,1.4305937743286896,0.47686459144289656,4
쉬칭위 HSU CHING YU,318263,31251,2082,https://www.youtube.com/watch?v=4m1rcjdjns0,3,1,3,0.556491610679236,1.0,0.27608395893978854,1.8325755696190245,0.6108585232063415,3
이리오 LEE LEO,303929,25458,4404,https://www.youtube.com/watch?v=RcwGMjOfh9U,4,2,2,0.5284803076670536,0.8036071464894735,0.6318369848322354,1.9639244389887625,0.6546414796629209,2
박준일 PARK JUN IL,116179,5818,1977,https://www.youtube.com/watch?v=sE3mduWPwFE,5,5,4,0.16158187453343809,0.13777672305658203,0.2599969358051172,0.5593555333951373,0.18645184446504579,5
아오시 AOSHI,33494,1754,280,https://www.youtube.com/watch?v=hh2m0kjYTqc,6,6,6,0.0,0.0,0.0,0.0,0.0,6
