trainee_name,views,likes,comments,url,views_rank,likes_rank,comments_rank,views_norm,likes_norm,comments_norm,score,score_norm,overall_rank
장지아하오 ZHANG JIA HAO,1089559,61101,13926,https://www.youtube.com/watch?v=gFtSBRp1Xd4,1,1,1,1.0,1.0,1.0,3.0,1.0,1
허씬롱 HE XIN LONG,447520,21297,6799,https://www.youtube.com/watch?v=WKhO7vc1eCQ,2,2,2,0.34940634401748594,0.2816459122902003,0.404545074776506,1.0355973310841922,0.3451991103613974,2
김준민 KIM JUN MIN,179306,13193,2753,https://www.youtube.com/watch?v=mu4lQfZ3Tfg,3,3,3,0.07761860706428833,0.13539072369608374,0.06650513827387418,0.27951446903424626,0.09317148967808209,3
박준일 PARK JUN IL,102708,5691,1957,https://www.youtube.com/watch?v=sE3mduWPwFE,4,4,4,0.0,0.0,0.0,0.0,0.0,4
