trainee_name,views,likes,comments,url,views_rank,likes_rank,comments_rank,views_norm,likes_norm,comments_norm,score,score_norm,overall_rank
장지아하오 ZHANG JIA HAO,1244209,63409,13936,https://www.youtube.com/watch?v=gFtSBRp1Xd4,1,1,1,1.0,1.0,1.0,3.0,1.0,1
허씬롱 HE XIN LONG,539427,22202,6805,https://www.youtube.com/watch?v=WKhO7vc1eCQ,2,4,2,0.4179304785761066,0.3316627741014662,0.47781195079086114,1.227405203468434,0.40913506782281134,2
이리오 LEE LEO,301765,25455,4416,https://www.youtube.com/watch?v=RcwGMjOfh9U,5,3,3,0.221648782107347,0.3844232515894641,0.3028705330990041,0.9089425667958151,0.30298085559860505,3
쉬칭위 HSU CHING YU,317596,31305,2082,https://www.youtube.com/watch?v=4m1rcjdjns0,4,2,4,0.23472338190368353,0.47930452835084986,0.13195664909197422,0.8459845593465076,0.28199485311550254,4
박준일 PARK JUN IL,115676,5827,1981,https://www.youtube.com/watch?v=sE3mduWPwFE,6,6,5,0.0679604995288321,0.06607629427792916,0.12456063268892795,0.2585974264956892,0.08619914216522973,6
,440982,19018,606,https://www.youtube.com/watch?v=vK3oPirPUvo,3,5,6,0.33662614044520206,0.28002140910860257,0.02387229056824839,0.640519840122053,0.21350661337401766,5
아오시 AOSHI,33388,1753,280,https://www.youtube.com/watch?v=hh2m0kjYTqc,7,7,7,0.0,0.0,0.0,0.0,0.0,7
