videoId,title,publishedAt,views,likes,comments,url,trainee_name
sE3mduWPwFE,[BOYS ll PLANET/9회 직캠] 박준일 PARK JUN IL ♬Lucky MACHO - 777 (Triple 7) @데뷔 콘셉트 배틀,2025-09-12T09:00:23Z,96943,5579,1925,https://www.youtube.com/watch?v=sE3mduWPwFE,박준일 PARK JUN IL
WKhO7vc1eCQ,[BOYS ll PLANET/9회 직캠] 허씬롱 HE XIN LONG ♬Lucky MACHO - 777 (Triple 7) @데뷔 콘셉트 배틀,2025-09-12T09:00:10Z,414973,20869,6772,https://www.youtube.com/watch?v=WKhO7vc1eCQ,허씬롱 HE XIN LONG
z5wuHjWSaYE,[BOYS ll PLANET/3회 직캠] 허씬롱 HE XIN LONG ♬첫 만남은 계획대로 되지 않아 - TWS @1vs1 계급 배틀,2025-08-01T06:37:12Z,1282638,65118,13846,https://www.youtube.com/watch?v=z5wuHjWSaYE,허씬롱 HE XIN LONG
