trainee_name,views,likes,comments,url,views_rank,likes_rank,comments_rank,views_norm,likes_norm,comments_norm,score,score_norm,overall_rank
이상원 LEE SANG WON,2850167,150148,17162,https://www.youtube.com/watch?v=zkFfkUNCHqA,1,1,1,1.0,1.0,1.0,3.0,1.0,1
장지아하오 ZHANG JIA HAO,1227088,63219,13966,https://www.youtube.com/watch?v=gFtSBRp1Xd4,2,2,2,0.42383264342159305,0.4142013828052347,0.81067472306143,1.6487087492882577,0.549569583096086,2
허씬롱 HE XIN LONG,531002,22111,6843,https://www.youtube.com/watch?v=WKhO7vc1eCQ,3,5,3,0.1767331303533832,0.13718209631117162,0.38872104733131924,0.702636273995874,0.234212091331958,3
이리오 LEE LEO,298015,25420,4417,https://www.youtube.com/watch?v=RcwGMjOfh9U,5,4,4,0.0940264328314922,0.15948084154345862,0.24500918192050233,0.49851645629545316,0.16617215209848438,4
쉬칭위 HSU CHING YU,316569,31375,2096,https://www.youtube.com/watch?v=4m1rcjdjns0,4,3,5,0.1006128091779028,0.1996104963812553,0.10751732717256086,0.40774063273171895,0.1359135442439063,5
박준일 PARK JUN IL,114431,5820,1985,https://www.youtube.com/watch?v=sE3mduWPwFE,6,6,6,0.028857018409834196,0.027400029650794508,0.10094188732894971,0.1571989353895784,0.05239964512985947,6
아오시 AOSHI,33140,1754,281,https://www.youtube.com/watch?v=hh2m0kjYTqc,7,7,7,0.0,0.0,0.0,0.0,0.0,7
