videoId,title,publishedAt,views,likes,comments,url,trainee_name
6eXW3vNlhf8,[BOYS ll PLANET/4회 직캠] 쑨지아양 SUN JIA YANG ♬Whiplash - aespa (에스파) @1vs1 계급 배틀,2025-08-04T11:35:29Z,251948,11340,1228,https://www.youtube.com/watch?v=6eXW3vNlhf8,쑨지아양 SUN JIA YANG
dnRlHl2wKvw,[BOYS ll PLANET/4회 직캠] 방준혁 BANG JUN HYUK ♬Whiplash - aespa (에스파) @1vs1 계급 배틀,2025-08-04T11:35:07Z,51669,3269,536,https://www.youtube.com/watch?v=dnRlHl2wKvw,방준혁 BANG JUN HYUK
hfer1acos3Q,[BOYS ll PLANET/4회 직캠] 유메키 YUMEKI ♬Whiplash - aespa (에스파) @1vs1 계급 배틀,2025-08-04T11:34:48Z,1087475,55838,7630,https://www.youtube.com/watch?v=hfer1acos3Q,유메키 YUMEKI
IjMO54OGEW4,[BOYS ll PLANET/4회 직캠] 조우안신 ZHOU AN XIN ♬Whiplash - aespa (에스파) @1vs1 계급 배틀,2025-08-04T11:34:51Z,737477,52464,7197,https://www.youtube.com/watch?v=IjMO54OGEW4,조우안신 ZHOU AN XIN
um-CwDseeTo,[BOYS ll PLANET/4회 직캠] 렌쇼 RENSHO ♬Whiplash - aespa (에스파) @1vs1 계급 배틀,2025-08-04T11:35:27Z,68654,2952,319,https://www.youtube.com/watch?v=um-CwDseeTo,렌쇼 RENSHO
fIk2XvR2w2M,[BOYS ll PLANET/4회 직캠] 김건우 KIM GEON WOO ♬Whiplash - aespa (에스파) @1vs1 계급 배틀,2025-08-04T11:34:33Z,448720,23640,6245,https://www.youtube.com/watch?v=fIk2XvR2w2M,김건우 KIM GEON WOO
qDR46tsekT8,[BOYS ll PLANET/4회 직캠] 이승백 LEE SEUNG BAEK ♬Whiplash - aespa (에스파) @1vs1 계급 배틀,2025-08-04T11:35:21Z,20405,693,120,https://www.youtube.com/watch?v=qDR46tsekT8,이승백 LEE SEUNG BAEK
4m1rcjdjns0,[BOYS ll PLANET/4회 직캠] 쉬칭위 HSU CHING YU ♬Whiplash - aespa (에스파) @1vs1 계급 배틀,2025-08-04T11:34:29Z,264738,30570,2046,https://www.youtube.com/watch?v=4m1rcjdjns0,쉬칭위 HSU CHING YU
fBFMcTu62Ro,[BOYS ll PLANET/4회 직캠] 김다니엘 KIM DANIEL ♬Whiplash - aespa (에스파) @1vs1 계급 배틀,2025-08-04T11:35:16Z,59984,2623,455,https://www.youtube.com/watch?v=fBFMcTu62Ro,김다니엘 KIM DANIEL
f5KG8b8PeRU,[BOYS ll PLANET/4회 직캠] 김재현 KIM JAE HYUN ♬Whiplash - aespa (에스파) @1vs1 계급 배틀,2025-08-04T11:35:18Z,107365,6563,718,https://www.youtube.com/watch?v=f5KG8b8PeRU,김재현 KIM JAE HYUN
