trainee_name,views,likes,comments,url,views_rank,likes_rank,comments_rank,views_norm,likes_norm,comments_norm,score,score_norm,overall_rank
이상원 LEE SANG WON,2517562,147411,17043,https://www.youtube.com/watch?v=zkFfkUNCHqA,1,1,3,1.0,1.0,0.9216106350252692,2.921610635025269,0.9738702116750897,1
허씬롱 HE XIN LONG,1381482,79702,18229,https://www.youtube.com/watch?v=WKhO7vc1eCQ,3,3,2,0.5449155909912451,0.5353996267222924,0.9867611513952977,2.067076369108835,0.6890254563696118,2
장지아하오 ZHANGJIAHAO,1030526,85590,18470,https://www.youtube.com/watch?v=gFtSBRp1Xd4,4,2,1,0.4043316498532296,0.5758014491958061,1.0,1.9801330990490358,0.6600443663496786,3
,1396932,68420,5487,https://www.youtube.com/watch?v=RuBFU6KCjSc,2,4,8,0.551104463358671,0.45798567272328045,0.28680509778070756,1.295895233862659,0.4319650779542197,4
조우안신 ZHOU AN XIN,806746,53890,7381,https://www.youtube.com/watch?v=IjMO54OGEW4,5,5,5,0.3146911412200531,0.3582848438271944,0.39084816523840915,1.0638241502856567,0.3546080500952189,5
이상원 LEESANGWON,479183,38560,7826,https://www.youtube.com/watch?v=HlGdAGO51WE,8,8,4,0.18347783382256802,0.2530946368776418,0.41529334212261043,0.8518658128228203,0.2839552709409401,6
김준서 KIM JUN SEO,590354,46328,5673,https://www.youtube.com/watch?v=iYDUgHny2cs,6,6,6,0.2280100752438696,0.3063964977768019,0.29702263238848603,0.8314292054091575,0.2771430684697192,7
정상현 CHUNG SANG HYEON,561054,43632,4214,https://www.youtube.com/watch?v=TxJfOmvpa_4,7,7,10,0.21627324933023984,0.28789729373661965,0.2168754119973632,0.7210459550642228,0.24034865168807426,8
박동규 PARK DONG GYU,294537,24951,5535,https://www.youtube.com/watch?v=Nzgp8nvy7fQ,10,10,7,0.10951339840795765,0.15971345446560906,0.28944188090529555,0.5586687337788623,0.18622291125962076,9
이리오 LEE LEO,253467,25532,4688,https://www.youtube.com/watch?v=_WLyTIGuv2Q,12,9,9,0.09306181341571276,0.16370011527693912,0.24291364535266974,0.49967557404532165,0.16655852468177387,10
장한음 JANG HAN EUM,309884,20726,3123,https://www.youtube.com/watch?v=ElgDEyBnBaM,9,12,12,0.11566101162626742,0.13072267662073886,0.1569435288947484,0.4033272171417547,0.13444240571391822,11
유메키 YUMEKI,264043,24009,2939,https://www.youtube.com/watch?v=RBj_YcPEdPo,11,11,13,0.09729828682399087,0.1532497118076522,0.1468358602504944,0.39738385888213745,0.13246128629404583,12
이리오 LEELEO,151161,20202,3719,https://www.youtube.com/watch?v=RcwGMjOfh9U,15,13,11,0.05208066283824491,0.1271271339957183,0.18968358602504945,0.3688913828590127,0.12296379428633757,13
앤드류 ANDREW,147992,18100,2190,https://www.youtube.com/watch?v=IRu5Ikd_LnI,16,14,16,0.05081124299796188,0.11270379316023495,0.10569105691056911,0.2692060930687659,0.0897353643562553,14
박준일 PARK JUN IL,147777,10915,2722,https://www.youtube.com/watch?v=sE3mduWPwFE,17,19,14,0.050725119531360156,0.06340231651753857,0.13491540320808615,0.24904283925698487,0.0830142797523283,15
장지아하오 ZHANG JIA HAO,154851,12594,1870,https://www.youtube.com/watch?v=spdXKRl_zH0,14,15,20,0.053558781869688384,0.07492314870725147,0.08811250274664909,0.21659443332358894,0.07219814444119631,16
허중싱 HE ZHONG XING,119454,7684,2700,https://www.youtube.com/watch?v=RfTf44Mai8Y,18,21,15,0.03937965467293913,0.041232090904100564,0.13370687760931663,0.2143186231863563,0.07143954106211876,17
김건우 KIMGEONWOO,110179,11020,1944,https://www.youtube.com/watch?v=wyU1Taqkt98,19,18,17,0.03566432838116724,0.06412279738705605,0.0921775433970556,0.19196466916527888,0.06398822305509295,18
센 SEN,183478,11682,1264,https://www.youtube.com/watch?v=vy3Jq0iq178,13,16,22,0.06502602130414162,0.06866525772629961,0.05482311579872556,0.1885143948291668,0.06283813160972226,19
유강민 YOO KANG MIN,97275,11252,1916,https://www.youtube.com/watch?v=9W2p6n50tyI,20,17,18,0.030495318088010974,0.06571471702256135,0.09063941990771258,0.18684945501828493,0.06228315167276164,20
김준민 KIM JUN MIN,73045,8735,1913,https://www.youtube.com/watch?v=mu4lQfZ3Tfg,22,20,19,0.020789403689128735,0.048443761321842235,0.09047462096242584,0.1597077859733968,0.053235928657798935,21
전이정 JUNLEEJEONG,66432,6336,1405,https://www.youtube.com/watch?v=YOLqUmzpYGM,23,22,21,0.018140406086165125,0.03198248888400944,0.06256866622720281,0.11269156119737737,0.03756385373245912,22
천카이원 CHEN KAI WEN,44921,6256,1166,https://www.youtube.com/watch?v=aoZGHX6eamc,29,23,23,0.009523653109097202,0.03143355107866279,0.049439683586025046,0.09039688777378505,0.030132295924595015,23
최립우 CHUEI LI YU,42588,5117,1102,https://www.youtube.com/watch?v=wwibOzhDbnk,30,25,24,0.008589113352902722,0.0236180490750398,0.045923972753241046,0.07813113518118356,0.026043711727061186,24
쉬칭위 HSU CHING YU,45463,6022,925,https://www.youtube.com/watch?v=wjEs-vKN654,28,24,25,0.00974076435978619,0.029827907998023824,0.03620083498132279,0.0757695073391328,0.0252565024463776,25
전이정 JUN LEE JEONG,49973,4910,619,https://www.youtube.com/watch?v=-iIHjaMZI54,25,26,28,0.011547354287105994,0.02219767250370533,0.019391342562074268,0.05313636935288559,0.01771212311762853,26
