trainee_name,views,likes,comments,url,views_rank,likes_rank,comments_rank,views_norm,likes_norm,comments_norm,score,score_norm,overall_rank
이상원 LEE SANG WON,2467516,146563,16952,https://www.youtube.com/watch?v=zkFfkUNCHqA,1,1,1,1.0,1.0,1.0,3.0,1.0,1
유메키 YUMEKI,1811695,98191,15682,https://www.youtube.com/watch?v=BWpAIk8_uls,2,2,2,0.7331707237685275,0.6691087442795871,0.9248209317468774,2.327100399794992,0.7757001332649973,2
이리오 LEE LEO,1094945,95806,14208,https://www.youtube.com/watch?v=_WLyTIGuv2Q,5,3,3,0.4415516939739526,0.6527940240924296,0.8375658556798674,1.9319115737462496,0.6439705245820831,3
허씬롱 HE XIN LONG,1138074,62813,13231,https://www.youtube.com/watch?v=z5wuHjWSaYE,4,5,4,0.45909928676922324,0.42710364122664807,0.7797312496300243,1.6659341776258956,0.5553113925419652,4
,1384000,68148,5496,https://www.youtube.com/watch?v=RuBFU6KCjSc,3,4,7,0.5591574681731446,0.4635979943497028,0.32184928668679336,1.344604749209641,0.4482015830698803,5
조우안신 ZHOU AN XIN,794445,53719,7358,https://www.youtube.com/watch?v=IjMO54OGEW4,6,6,5,0.3192893731462306,0.364895647355784,0.4320724560468833,1.116257476548898,0.3720858255162993,6
김준서 KIM JUN SEO,489786,35391,3383,https://www.youtube.com/watch?v=_czc_slWvT0,7,7,12,0.19533490924921576,0.23952198211879305,0.1967678920262831,0.6316247833942918,0.21054159446476395,7
허중싱 HE ZHONG XING,372143,20688,5587,https://www.youtube.com/watch?v=RfTf44Mai8Y,9,13,6,0.14747032951831493,0.13894532345557403,0.3272361333096549,0.6136517862835438,0.20455059542784793,8
강우진 KANG WOO JIN,306229,29749,4425,https://www.youtube.com/watch?v=Zs7ssp7azqI,11,9,8,0.12065236407725514,0.20092757905969752,0.25845024566388447,0.5800301888008371,0.19334339626694572,9
최립우 CHUEI LI YU,384275,22413,3562,https://www.youtube.com/watch?v=ay3GFkTcBvk,8,11,11,0.15240639100344613,0.15074527830792067,0.20736399692180194,0.5105156662331688,0.1701718887443896,10
장지아하오 ZHANG JIA HAO,303477,23302,3903,https://www.youtube.com/watch?v=n1ibOjvf4n0,12,10,9,0.1195326771989926,0.1568265304028402,0.22754987272834903,0.5039090803301818,0.16796969344339394,11
쉬칭위 HSU CHING YU,292514,31417,2101,https://www.youtube.com/watch?v=4m1rcjdjns0,13,8,16,0.1150722385193443,0.2123376223604014,0.12087847037234357,0.4482883312520893,0.14942944375069642,12
쑨헝위 SUN HENG YU,316294,21051,2758,https://www.youtube.com/watch?v=-ykCaAX8pwM,10,12,13,0.12474743981479598,0.14142844438972002,0.1597703190670692,0.42594620327158517,0.14198206775719505,13
박동규 PARK DONG GYU,204830,16849,3769,https://www.youtube.com/watch?v=W2bS9tFVHwY,17,17,10,0.07939686634144753,0.11268443842475734,0.21961759308589357,0.41169889785209846,0.13723296595069948,14
센 SEN,286976,18680,2656,https://www.youtube.com/watch?v=pmk_LXqOkAg,15,14,14,0.11281903142202675,0.12520949195208878,0.1537323151601255,0.39176083853424104,0.13058694617808034,15
마사토 MASATO,287887,17772,1832,https://www.youtube.com/watch?v=rCvkb23P0ws,14,16,19,0.11318968358267252,0.11899826933995498,0.10495471497069792,0.3371426678933254,0.11238088929777514,16
장한음 JANG HAN EUM,257545,15985,2050,https://www.youtube.com/watch?v=rlrM1_TEaCY,16,18,17,0.10084464751427072,0.10677420016827761,0.11785946841887172,0.3254783161014201,0.1084927720338067,17
앤드류 ANDREW,144551,17908,2174,https://www.youtube.com/watch?v=IRu5Ikd_LnI,20,15,15,0.05487157370526033,0.11992858462106754,0.12519978689397976,0.2999999452203076,0.09999998174010254,18
